User,ROI_Cycle,Foragingchange,Foragingsame,Sensemakingchange,Sensemakingsame,Navigationsame,Navigationchange,Foraging,Navigation,Sensemaking,AverageROIReward,IdleTimeROI,ForagingProportionROI,NavigationProportionROI
userid_44968286-f204-4ad6-a9b5-d95b38e97866,0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.5,3,4,3,1.1110265000000001,36.94200000000001,0.3,0.4
userid_44968286-f204-4ad6-a9b5-d95b38e97866,1,0.5,0.5,0.25,0.75,0.6,0.4,2,5,4,1.9608642386363633,37.586999999999996,0.18181818181818182,0.45454545454545453
userid_44968286-f204-4ad6-a9b5-d95b38e97866,2,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,4,6,2,1.4990649166666667,44.978,0.3333333333333333,0.5
userid_44968286-f204-4ad6-a9b5-d95b38e97866,3,0.5,0.5,0.5,0.5,0.8,0.2,2,5,2,1.3232803173076921,12.711,0.2222222222222222,0.5555555555555556
userid_44968286-f204-4ad6-a9b5-d95b38e97866,4,0.5,0.5,0.5,0.5,0.625,0.375,2,8,2,1.1359212321428571,8.392,0.16666666666666666,0.6666666666666666
userid_44968286-f204-4ad6-a9b5-d95b38e97866,5,0.25,0.75,0.3333333333333333,0.6666666666666666,0.5,0.5,8,4,3,0.9279883,36.139,0.5333333333333333,0.26666666666666666
userid_44968286-f204-4ad6-a9b5-d95b38e97866,6,0.5,0.5,0.5,0.5,0.6666666666666666,0.3333333333333333,2,3,2,1.07699175,7.654,0.2857142857142857,0.42857142857142855
userid_6d49fab8-273b-4a91-948b-ecd14556b049,0,0.25,0.75,0.5,0.5,0.5,0.5,4,2,2,0.10436306249999999,40.94500000000001,0.5,0.25
userid_6d49fab8-273b-4a91-948b-ecd14556b049,1,0.5,0.5,0.5,0.5,0.6,0.4,2,5,2,0.9955249625,20.432,0.2222222222222222,0.5555555555555556
userid_6d49fab8-273b-4a91-948b-ecd14556b049,2,0.3333333333333333,0.6666666666666666,0.5,0.5,0.75,0.25,3,8,2,1.1977326323529411,32.504000000000005,0.23076923076923078,0.6153846153846154
userid_6d49fab8-273b-4a91-948b-ecd14556b049,3,0.5,0.5,0.5,0.5,0.8181818181818182,0.18181818181818182,4,11,2,1.0607905170454546,50.18000000000001,0.23529411764705882,0.6470588235294118
userid_6d49fab8-273b-4a91-948b-ecd14556b049,4,0.5,0.5,0.5,0.5,0.8571428571428571,0.14285714285714285,2,7,2,0.9361594375,22.601,0.18181818181818182,0.6363636363636364
userid_6d49fab8-273b-4a91-948b-ecd14556b049,5,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,3,3,2,1.2220011,23.268,0.375,0.375
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,0,0.3333333333333333,0.6666666666666666,0.5,0.5,0.6666666666666666,0.3333333333333333,3,3,2,0.3545449659090909,59.28800000000001,0.375,0.375
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,1,0.5,0.5,0.5,0.5,0.8333333333333334,0.16666666666666666,2,6,2,0.8345644903846152,31.550999999999995,0.2,0.6
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,2,0.5,0.5,0.5,0.5,0.8,0.2,2,5,2,1.3647395104166666,17.625,0.2222222222222222,0.5555555555555556
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,3,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,2,2,3,2.2690395833333334,16.383,0.2857142857142857,0.2857142857142857
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,4,0.6666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,0.3333333333333333,3,6,2,1.4295656363636364,20.848,0.2727272727272727,0.5454545454545454
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,5,0.5,0.5,0.3333333333333333,0.6666666666666666,0.5,0.5,4,6,3,1.1155794916666666,25.491999999999997,0.3076923076923077,0.46153846153846156
userid_72a8d170-77ae-400e-b2a5-de9e1d33a714,6,0.2857142857142857,0.7142857142857143,0.5,0.5,0.6,0.4,7,5,2,1.2305918281250001,34.620000000000005,0.5,0.35714285714285715
userid_733a1ac5-0b01-485e-9b29-ac33932aa240,0,0.5,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,2,3,2,0.4908638249999999,35.633,0.2857142857142857,0.42857142857142855
userid_733a1ac5-0b01-485e-9b29-ac33932aa240,1,0.5,0.5,0.125,0.875,0.8,0.2,2,5,8,0.9604638097826088,38.187000000000005,0.13333333333333333,0.3333333333333333
userid_733a1ac5-0b01-485e-9b29-ac33932aa240,2,0.3333333333333333,0.6666666666666666,0.5,0.5,0.5,0.5,3,4,2,1.0391317166666667,13.415,0.3333333333333333,0.4444444444444444
userid_7d014c75-453b-4188-9e4e-fb086984896a,0,0.25,0.75,0.5,0.5,0.5,0.5,8,8,2,1.0354536041666667,78.431,0.4444444444444444,0.4444444444444444
