data/zheng/processed_interactions_p2/pro23_acf_p2_logs.csv,0.6310679611650486,defaultdict(None, {'modify-1': (19, 0.21052631578947367), 'same': (61, 1.0), 'modify-2': (20, 0.0), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p2/pro21_ade_p2_logs.csv,0.6410256410256411,defaultdict(None, {'same': (50, 1.0), 'modify-1': (20, 0.0), 'modify-2': (6, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p2/pro17_ace_p2_logs.csv,0.5913978494623656,defaultdict(None, {'same': (65, 0.8), 'modify-1': (26, 0.11538461538461539), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/pro22_ade_p2_logs.csv,0.5113636363636364,defaultdict(None, {'modify-1': (39, 0.10256410256410256), 'same': (44, 0.9090909090909091), 'modify-2': (5, 0.2)})
data/zheng/processed_interactions_p2/pro13_ace_p2_logs.csv,0.5714285714285714,defaultdict(None, {'modify-1': (8, 0.125), 'same': (16, 0.9375), 'modify-2': (2, 0.0), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p2/pro15_ade_p2_logs.csv,0.68,defaultdict(None, {'same': (33, 0.9393939393939394), 'modify-1': (9, 0.3333333333333333), 'modify-2': (7, 0.0), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p2/pro20_ade_p2_logs.csv,0.6956521739130435,defaultdict(None, {'same': (45, 0.9777777777777777), 'modify-1': (21, 0.19047619047619047), 'modify-2': (3, 0.0)})
data/zheng/processed_interactions_p2/pro18_adf_p2_logs.csv,0.8214285714285714,defaultdict(None, {'same': (24, 0.9583333333333334), 'modify-1': (2, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/pro24_adf_p2_logs.csv,0.7083333333333334,defaultdict(None, {'same': (16, 0.9375), 'modify-1': (5, 0.2), 'modify-2': (3, 0.3333333333333333)})
data/zheng/processed_interactions_p2/pro25_acf_p2_logs.csv,0.52,defaultdict(None, {'same': (15, 0.8666666666666667), 'modify-1': (4, 0.0), 'modify-2': (6, 0.0)})
data/zheng/processed_interactions_p2/pro29_ace_p2_logs.csv,0.6666666666666666,defaultdict(None, {'modify-1': (4, 0.0), 'same': (15, 0.9333333333333333), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu15_ade_p2_logs.csv,0.6338028169014085,defaultdict(None, {'same': (82, 0.9878048780487805), 'modify-1': (43, 0.09302325581395349), 'modify-2': (17, 0.29411764705882354)})
data/zheng/processed_interactions_p2/pro8_acf_p2_logs.csv,0.7322834645669292,defaultdict(None, {'modify-1': (9, 0.0), 'same': (91, 0.978021978021978), 'modify-2': (25, 0.16), 'modify-3': (2, 0.0)})
data/zheng/processed_interactions_p2/stu10_acf_p2_logs.csv,0.6052631578947368,defaultdict(None, {'modify-1': (3, 0.6666666666666666), 'same': (25, 0.8), 'modify-2': (8, 0.0), 'modify-3': (2, 0.5)})
data/zheng/processed_interactions_p2/pro5_adf_p2_logs.csv,0.7428571428571429,defaultdict(None, {'same': (50, 0.96), 'modify-1': (6, 0.16666666666666666), 'modify-2': (14, 0.21428571428571427)})
data/zheng/processed_interactions_p2/stu11_adf_p2_logs.csv,0.6111111111111112,defaultdict(None, {'modify-1': (5, 0.0), 'same': (11, 1.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/pro31_adf_p2_logs.csv,0.5,defaultdict(None, {'same': (7, 0.8571428571428571), 'modify-1': (5, 0.0), 'modify-2': (2, 0.5)})
data/zheng/processed_interactions_p2/pro3_ace_p2_logs.csv,0.5272727272727272,defaultdict(None, {'modify-1': (14, 0.07142857142857142), 'same': (30, 0.9333333333333333), 'modify-2': (8, 0.0), 'modify-3': (3, 0.0)})
data/zheng/processed_interactions_p2/pro9_acf_p2_logs.csv,0.5833333333333334,defaultdict(None, {'same': (15, 0.9333333333333333), 'modify-1': (3, 0.0), 'modify-2': (6, 0.0)})
data/zheng/processed_interactions_p2/stu13_acf_p2_logs.csv,0.7272727272727273,defaultdict(None, {'same': (16, 1.0), 'modify-1': (2, 0.0), 'modify-2': (3, 0.0), 'modify-3': (1, 0.0)})
data/zheng/processed_interactions_p2/stu21_ace_p2_logs.csv,0.5179856115107914,defaultdict(None, {'modify-1': (67, 0.14925373134328357), 'same': (69, 0.8985507246376812), 'modify-2': (3, 0.0)})
data/zheng/processed_interactions_p2/stu17_ace_p2_logs.csv,0.6666666666666666,defaultdict(None, {'same': (12, 0.9166666666666666), 'modify-1': (4, 0.25), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu25_ace_p2_logs.csv,0.75,defaultdict(None, {'same': (27, 1.0), 'modify-1': (3, 0.0), 'modify-2': (6, 0.0)})
data/zheng/processed_interactions_p2/stu26_ace_p2_logs.csv,0.6842105263157895,defaultdict(None, {'same': (14, 0.9285714285714286), 'modify-1': (3, 0.0), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu24_ace_p2_logs.csv,0.8148148148148148,defaultdict(None, {'same': (21, 1.0), 'modify-1': (4, 0.25), 'modify-2': (2, 0.0)})
data/zheng/processed_interactions_p2/stu30_adf_p2_logs.csv,0.7222222222222222,defaultdict(None, {'modify-1': (3, 0.0), 'same': (13, 0.9230769230769231), 'modify-2': (2, 0.5)})
