Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy
QLearn,U_1,0.01,0.05,0.0001,0.05,0.4050632911392405,"[0.7708333333333334, 0.18604651162790697, 0.4583333333333333]"
QLearn,U_1,0.1,0.1,0.0001,0.5,0.6575342465753424,"[0.7, 0.6585365853658537, 0.5833333333333334]"
QLearn,U_1,0.1,0.2,0.001,0.2,0.7384615384615385,"[0.8421052631578947, 0.75, 0.5]"
QLearn,U_1,0.1,0.3,0.5,0.05,0.6842105263157895,"[0.7368421052631579, 0.6451612903225806, 0.7142857142857143]"
QLearn,U_1,0.1,0.4,0.5,0.5,0.673469387755102,"[0.8125, 0.6538461538461539, 0.42857142857142855]"
QLearn,U_1,0.1,0.5,0.01,0.1,0.7073170731707317,"[0.75, 0.7142857142857143, 0.5]"
QLearn,U_1,0.1,0.6,0.001,0.1,0.6666666666666666,"[0.7857142857142857, 0.6, 0.5]"
QLearn,U_1,0.05,0.7,0.1,0.1,0.72,"[0.8333333333333334, 0.7, 0.3333333333333333]"
QLearn,U_1,0.1,0.8,0.1,0.5,0.7058823529411765,"[0.75, 0.7142857142857143, 0.5]"
QLearn,U_1,0.05,0.9,0.1,0.1,0.6666666666666666,"[0.75, 0.75, 0.0]"
QLearn,U_10,0.1,0.05,0.5,0.8,0.5465116279069767,"[0.7027027027027027, 0.6438356164383562, 0.3387096774193548]"
QLearn,U_10,0.1,0.1,0.01,0.5,0.389937106918239,"[0.19444444444444445, 0.6984126984126984, 0.18333333333333332]"
QLearn,U_10,0.05,0.2,0.5,0.5,0.7446808510638298,"[0.7777777777777778, 0.6078431372549019, 0.8518518518518519]"
QLearn,U_10,0.1,0.3,0.1,0.9,0.8064516129032258,"[0.8484848484848485, 0.7105263157894737, 0.8490566037735849]"
QLearn,U_10,0.05,0.4,0.1,0.9,0.5377358490566038,"[0.125, 0.6285714285714286, 0.7948717948717948]"
QLearn,U_10,0.1,0.5,0.1,0.05,0.7386363636363636,"[0.782608695652174, 0.6296296296296297, 0.7894736842105263]"
QLearn,U_10,0.1,0.6,0.1,0.05,0.7323943661971831,"[0.6470588235294118, 0.6190476190476191, 0.8484848484848485]"
QLearn,U_10,0.01,0.7,0.1,0.05,0.8679245283018868,"[0.8571428571428571, 0.5555555555555556, 0.9666666666666667]"
QLearn,U_10,0.05,0.8,0.1,0.2,0.8333333333333334,"[0.5, 0.6, 0.896551724137931]"
QLearn,U_10,0.05,0.9,0.1,0.5,0.7777777777777778,"[0.5, 0.6, 0.9090909090909091]"
QLearn,U_11,0.01,0.05,0.0001,0.05,0.1917808219178082,"[0.7058823529411765, 0.0625, 0.0]"
QLearn,U_11,0.01,0.1,0.5,0.1,0.38235294117647056,"[0.25, 0.7857142857142857, 0.0]"
QLearn,U_11,0.1,0.2,0.0001,0.05,0.16666666666666666,"[0.75, 0.14285714285714285, 0.0]"
QLearn,U_11,0.1,0.3,0.5,0.8,0.6153846153846154,"[0.5, 0.9166666666666666, 0.3333333333333333]"
QLearn,U_11,0.1,0.4,0.1,0.2,0.34782608695652173,"[0, 0.7272727272727273, 0.0]"
QLearn,U_11,0.01,0.5,0.5,0.8,0.3157894736842105,"[0, 0.8571428571428571, 0.0]"
QLearn,U_11,0.1,0.6,0.1,0.1,0.13333333333333333,"[0, 0.6666666666666666, 0.0]"
QLearn,U_11,0.01,0.7,0.5,0.5,1.0,"[0, 0, 1.0]"
QLearn,U_11,0.1,0.8,0.001,0.05,1.0,"[0, 0, 1.0]"
QLearn,U_11,0.1,0.9,0.01,0.05,1.0,"[0, 0, 1.0]"
QLearn,U_12,0.01,0.05,0.0001,0.05,0.31543624161073824,"[0.7317073170731707, 0.10638297872340426, 0.5]"
QLearn,U_12,0.1,0.1,0.001,0.05,0.30434782608695654,"[0.75, 0.0851063829787234, 0.8333333333333334]"
QLearn,U_12,0.05,0.2,0.5,0.1,0.7704918032786885,"[0.6666666666666666, 0.8292682926829268, 0.6]"
QLearn,U_12,0.1,0.3,0.1,0.05,0.7962962962962963,"[0.7692307692307693, 0.8108108108108109, 0.75]"
QLearn,U_12,0.05,0.4,0.1,0.1,0.7608695652173914,"[0.8181818181818182, 0.7419354838709677, 0.75]"
QLearn,U_12,0.01,0.5,0.5,0.05,0.7631578947368421,"[0.7272727272727273, 0.7916666666666666, 0.6666666666666666]"
QLearn,U_12,0.01,0.6,0.5,0.8,0.7741935483870968,"[0.6666666666666666, 0.8181818181818182, 0.6666666666666666]"
QLearn,U_12,0.1,0.7,0.1,0.2,0.7391304347826086,"[0.8, 0.7333333333333333, 0.6666666666666666]"
QLearn,U_12,0.1,0.8,0.1,0.9,0.625,"[0.6, 0.6, 1.0]"
QLearn,U_12,0.01,0.9,0.1,0.1,0.75,"[1.0, 0.6, 1.0]"
QLearn,U_13,0.1,0.05,0.0001,0.05,0.26495726495726496,"[0.5714285714285714, 0.17647058823529413, 0.25]"
QLearn,U_13,0.1,0.1,0.1,0.5,0.5925925925925926,"[0.4, 0.75, 0.3333333333333333]"
QLearn,U_13,0.1,0.2,0.1,0.1,0.6458333333333334,"[0.4444444444444444, 0.6666666666666666, 0.75]"
QLearn,U_13,0.05,0.3,0.0001,0.2,0.7142857142857143,"[0.6, 0.72, 0.75]"
QLearn,U_13,0.1,0.4,0.001,0.5,0.5555555555555556,"[0.4, 0.7142857142857143, 0.3]"
QLearn,U_13,0.1,0.5,0.01,0.2,0.4666666666666667,"[0.6666666666666666, 0.5882352941176471, 0.2]"
QLearn,U_13,0.1,0.6,0.001,0.1,0.625,"[0.6666666666666666, 0.5, 0.7777777777777778]"
QLearn,U_13,0.1,0.7,0.1,0.9,0.5,"[1.0, 0.7777777777777778, 0.125]"
QLearn,U_13,0.1,0.8,0.01,0.05,0.75,"[1.0, 0.6666666666666666, 0.8]"
QLearn,U_13,0.1,0.9,0.1,0.1,0.8333333333333334,"[0, 0.6666666666666666, 1.0]"
QLearn,U_14,0.01,0.05,0.0001,0.05,0.30434782608695654,"[0.75, 0.13636363636363635, 0.16666666666666666]"
QLearn,U_14,0.01,0.1,0.0001,0.05,0.2558139534883721,"[0.6666666666666666, 0.13636363636363635, 0.16666666666666666]"
QLearn,U_14,0.1,0.2,0.01,0.2,0.5789473684210527,"[0.875, 0.7222222222222222, 0.16666666666666666]"
QLearn,U_14,0.1,0.3,0.1,0.05,0.7272727272727273,"[0.75, 0.5714285714285714, 0.9090909090909091]"
QLearn,U_14,0.1,0.4,0.1,0.9,0.4827586206896552,"[0.75, 0.6363636363636364, 0.1]"
QLearn,U_14,0.01,0.5,0.5,0.2,0.4583333333333333,"[0.8333333333333334, 0.625, 0.1]"
QLearn,U_14,0.1,0.6,0.1,0.05,0.7368421052631579,"[0.8333333333333334, 0.7142857142857143, 0.6666666666666666]"
QLearn,U_14,0.1,0.7,0.1,0.05,0.8666666666666667,"[0.8333333333333334, 0.75, 1.0]"
QLearn,U_14,0.1,0.8,0.1,0.2,0.8,"[0.0, 0.75, 1.0]"
QLearn,U_14,0.1,0.9,0.1,0.5,1.0,"[0, 0, 1.0]"
QLearn,U_15,0.1,0.05,0.001,0.1,0.6827586206896552,"[0.6, 0.7843137254901961, 0.2222222222222222]"
QLearn,U_15,0.1,0.1,0.0001,0.8,0.746268656716418,"[0.6363636363636364, 0.851063829787234, 0.3333333333333333]"
QLearn,U_15,0.1,0.2,0.0001,0.8,0.7166666666666667,"[0.6363636363636364, 0.825, 0.3333333333333333]"
QLearn,U_15,0.1,0.3,0.1,0.05,0.75,"[0.6363636363636364, 0.7837837837837838, 0.75]"
QLearn,U_15,0.1,0.4,0.5,0.2,0.6666666666666666,"[0.45454545454545453, 0.8, 0.25]"
QLearn,U_15,0.01,0.5,0.5,0.1,0.7297297297297297,"[0.5, 0.84, 0.5]"
QLearn,U_15,0.1,0.6,0.0001,0.8,0.7,"[0.625, 0.7777777777777778, 0.5]"
QLearn,U_15,0.1,0.7,0.1,0.5,0.6956521739130435,"[0.0, 0.8823529411764706, 0.25]"
QLearn,U_15,0.1,0.8,0.1,0.5,0.6666666666666666,"[0.0, 0.8, 0.6666666666666666]"
QLearn,U_15,0.01,0.9,0.5,0.05,0.75,"[0, 0.8333333333333334, 0.5]"
QLearn,U_16,0.1,0.05,0.0001,0.05,0.23275862068965517,"[0.5625, 0.1625, 0.25]"
QLearn,U_16,0.1,0.1,0.0001,0.05,0.6851851851851852,"[0.5714285714285714, 0.7567567567567568, 0.5]"
QLearn,U_16,0.1,0.2,0.0001,0.05,0.5625,"[0.42857142857142855, 0.65625, 0.3333333333333333]"
QLearn,U_16,0.1,0.3,0.0001,0.9,0.6428571428571429,"[0.6, 0.7142857142857143, 0.4444444444444444]"
QLearn,U_16,0.1,0.4,0.1,0.9,0.6111111111111112,"[0.6, 0.75, 0.14285714285714285]"
QLearn,U_16,0.1,0.5,0.1,0.8,0.6333333333333333,"[0.5, 0.7368421052631579, 0.42857142857142855]"
QLearn,U_16,0.01,0.6,0.1,0.05,0.5416666666666666,"[0.5, 0.6923076923076923, 0.2857142857142857]"
QLearn,U_16,0.1,0.7,0.5,0.05,0.5555555555555556,"[0.5, 0.5454545454545454, 0.6666666666666666]"
