Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,GranularPredictions,Predictions,GroundTruth
ActorCritic,pro25_acf_p1,0.8,0.0001,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro15_ade_p1,0.8,0.0001,0.9,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro13_ace_p1,0.8,0.0001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro24_adf_p1,0.8,0.0001,0.5,1.0,0.1428571428571428,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro20_ade_p1,0.8,0.001,0.9,1.0,0.75,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro18_adf_p1,0.8,0.001,0.8,1.0,0.4,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro17_ace_p1,0.8,0.001,0.9,1.0,0.8181818181818182,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro22_ade_p1,0.8,0.1,0.05,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro23_acf_p1,0.8,0.0001,0.2,1.0,0.7272727272727273,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro31_adf_p1,0.8,0.0001,0.8,1.0,0.7272727272727273,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro3_ace_p1,0.8,0.1,0.8,1.0,0.5714285714285714,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro21_ade_p1,0.8,0.0001,0.8,1.0,0.9444444444444444,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro9_acf_p1,0.8,0.001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu11_adf_p1,0.8,0.001,0.1,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu17_ace_p1,0.8,0.0001,0.5,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
