User,Accuracy,LearningRate,Discount,Algorithm
pro13_ace_p4,0.3185840707964602,0,0,HMM
pro15_ade_p4,0.49122807017543857,0,0,HMM
pro17_ace_p4,0.2271062271062271,0,0,HMM
pro18_adf_p4,0.618421052631579,0,0,HMM
pro20_ade_p4,0.37398373983739835,0,0,HMM
pro21_ade_p4,0.2459546925566343,0,0,HMM
pro22_ade_p4,0.20588235294117646,0,0,HMM
pro23_acf_p4,0.22727272727272727,0,0,HMM
pro24_adf_p4,0.18181818181818182,0,0,HMM
pro25_acf_p4,0.14864864864864866,0,0,HMM
pro29_ace_p4,0.2716049382716049,0,0,HMM
pro31_adf_p4,0.10457516339869281,0,0,HMM
pro3_ace_p4,0.2913907284768212,0,0,HMM
pro5_adf_p4,0.11016949152542373,0,0,HMM
pro8_acf_p4,0.1702127659574468,0,0,HMM
pro9_acf_p4,0.33587786259541985,0,0,HMM
stu10_acf_p4,0.16312056737588654,0,0,HMM
stu11_adf_p4,0.15789473684210525,0,0,HMM
stu13_acf_p4,0.11965811965811966,0,0,HMM
stu15_ade_p4,0.4769874476987448,0,0,HMM
stu17_ace_p4,0.3611111111111111,0,0,HMM
stu21_ace_p4,0.2641509433962264,0,0,HMM
stu24_ace_p4,0.4025157232704403,0,0,HMM
stu25_ace_p4,0.3394495412844037,0,0,HMM
stu26_ace_p4,0.3100558659217877,0,0,HMM
stu29_ade_p4,0.27692307692307694,0,0,HMM
stu30_adf_p4,0.24352331606217617,0,0,HMM
stu31_ade_p4,0.3870967741935484,0,0,HMM
stu36_adf_p4,0.25874125874125875,0,0,HMM
stu37_adf_p4,0.45112781954887216,0,0,HMM
stu38_acf_p4,0.22448979591836735,0,0,HMM
stu39_adf_p4,0.21962616822429906,0,0,HMM
stu3_acf_p4,0.1553784860557769,0,0,HMM
stu4_ade_p4,0.2542372881355932,0,0,HMM
stu6_acf_p4,0.20833333333333334,0,0,HMM
stu7_ade_p4,0.30666666666666664,0,0,HMM
