User,Accuracy,LearningRate,Discount,Algorithm
pro13_ace_p3,0.234375,0,0,HMM
pro15_ade_p3,0.5233644859813084,0,0,HMM
pro17_ace_p3,0.29285714285714287,0,0,HMM
pro18_adf_p3,0.45901639344262296,0,0,HMM
pro20_ade_p3,0.4134275618374558,0,0,HMM
pro21_ade_p3,0.4389312977099237,0,0,HMM
pro22_ade_p3,0.16751269035532995,0,0,HMM
pro23_acf_p3,0.10638297872340426,0,0,HMM
pro24_adf_p3,0.2597402597402597,0,0,HMM
pro25_acf_p3,0.031746031746031744,0,0,HMM
pro29_ace_p3,0.23595505617977527,0,0,HMM
pro31_adf_p3,0.11650485436893204,0,0,HMM
pro3_ace_p3,0.5223880597014925,0,0,HMM
pro5_adf_p3,0.21739130434782608,0,0,HMM
pro8_acf_p3,0.12173913043478261,0,0,HMM
pro9_acf_p3,0.23118279569892472,0,0,HMM
stu10_acf_p3,0.07471264367816093,0,0,HMM
stu11_adf_p3,0.13194444444444445,0,0,HMM
stu13_acf_p3,0.053691275167785234,0,0,HMM
stu15_ade_p3,0.23529411764705882,0,0,HMM
stu17_ace_p3,0.3466666666666667,0,0,HMM
stu21_ace_p3,0.24210526315789474,0,0,HMM
stu24_ace_p3,0.5113636363636364,0,0,HMM
stu25_ace_p3,0.29545454545454547,0,0,HMM
stu26_ace_p3,0.32,0,0,HMM
stu29_ade_p3,0.13125,0,0,HMM
stu30_adf_p3,0.23880597014925373,0,0,HMM
stu31_ade_p3,0.37583892617449666,0,0,HMM
stu36_adf_p3,0.4236111111111111,0,0,HMM
stu37_adf_p3,0.4225941422594142,0,0,HMM
stu38_acf_p3,0.17903930131004367,0,0,HMM
stu39_adf_p3,0.29081632653061223,0,0,HMM
stu3_acf_p3,0.0945945945945946,0,0,HMM
stu4_ade_p3,0.174496644295302,0,0,HMM
stu6_acf_p3,0.14761904761904762,0,0,HMM
stu7_ade_p3,0.2883435582822086,0,0,HMM
