Algorithm,User,Epsilon,Threshold,LearningRate,Discount,Accuracy,StateAccuracy,Reward
QLearn,U_1,0.01,0.05,0.0001,0.05,0.37662337662337664,"[0.7272727272727273, 0.16279069767441862, 0.5]",1.0064516129032257
QLearn,U_1,0.1,0.1,0.001,0.1,0.6575342465753424,"[0.7, 0.6829268292682927, 0.5]",1.0068027210884354
QLearn,U_1,0.5,0.2,0.0001,0.8,0.5538461538461539,"[0.631578947368421, 0.4444444444444444, 0.8]",1.0076335877862597
QLearn,U_1,0.5,0.3,0.01,0.05,0.543859649122807,"[0.631578947368421, 0.5161290322580645, 0.42857142857142855]",1.0086956521739134
QLearn,U_1,0.5,0.4,0.5,0.05,0.5102040816326531,"[0.4375, 0.5769230769230769, 0.42857142857142855]",1.0101010101010102
QLearn,U_1,0.5,0.5,0.1,0.99,0.4878048780487805,"[0.4375, 0.47619047619047616, 0.75]",1.0120481927710843
QLearn,U_1,0.7,0.6,0.001,0.1,0.5151515151515151,"[0.6428571428571429, 0.4666666666666667, 0.25]",1.0149253731343282
QLearn,U_1,0.1,0.7,0.1,0.2,0.68,"[0.8333333333333334, 0.6, 0.3333333333333333]",1.0196078431372548
QLearn,U_1,0.05,0.8,0.5,0.99,0.7647058823529411,"[0.875, 0.7142857142857143, 0.5]",1.0285714285714287
QLearn,U_1,0.1,0.9,0.01,0.1,0.6666666666666666,"[0.75, 0.75, 0.0]",1.0526315789473684
QLearn,U_10,0.01,0.05,0.0001,0.05,0.4226190476190476,"[0.2222222222222222, 0.7714285714285715, 0.14516129032258066]",1.002967359050445
QLearn,U_10,0.1,0.1,0.5,0.05,0.7232704402515723,"[0.8333333333333334, 0.5555555555555556, 0.8333333333333334]",1.0031347962382444
QLearn,U_10,0.1,0.2,0.01,0.05,0.6666666666666666,"[0.2777777777777778, 0.7450980392156863, 0.8518518518518519]",1.0035335689045937
QLearn,U_10,0.1,0.3,0.01,0.8,0.3225806451612903,"[0.24242424242424243, 0.6578947368421053, 0.1320754716981132]",1.0040160642570282
QLearn,U_10,0.05,0.4,0.1,0.8,0.5660377358490566,"[0.1875, 0.6571428571428571, 0.7948717948717948]",1.0046948356807512
QLearn,U_10,0.01,0.5,0.1,0.05,0.8068181818181818,"[0.8260869565217391, 0.6666666666666666, 0.8947368421052632]",1.0056497175141244
QLearn,U_10,0.05,0.6,0.1,0.2,0.8169014084507042,"[0.8235294117647058, 0.7142857142857143, 0.8787878787878788]",1.0069930069930066
QLearn,U_10,0.1,0.7,0.01,0.1,0.8867924528301887,"[0.9285714285714286, 0.5555555555555556, 0.9666666666666667]",1.0093457943925233
QLearn,U_10,0.1,0.8,0.01,0.1,0.8611111111111112,"[0.5, 0.6, 0.9310344827586207]",1.0136986301369861
QLearn,U_10,0.05,0.9,0.1,0.2,0.7777777777777778,"[0.5, 0.6, 0.9090909090909091]",1.0270270270270268
QLearn,U_11,0.01,0.05,0.0001,0.05,0.08333333333333333,"[0.25, 0.0625, 0.0]",1.0136986301369864
QLearn,U_11,0.01,0.1,1,0.99,0.17647058823529413,"[0.25, 0.2857142857142857, 0.0]",1.0144927536231885
QLearn,U_11,0.7,0.2,0.0001,0.9,0.16666666666666666,"[0.5, 0.21428571428571427, 0.0]",1.0163934426229508
QLearn,U_11,0.7,0.3,0.5,0.99,0.38461538461538464,"[0.0, 0.5, 0.3333333333333333]",1.0188679245283019
QLearn,U_11,0.5,0.4,0.01,0.9,0.6086956521739131,"[0, 0.8181818181818182, 0.4166666666666667]",1.021276595744681
QLearn,U_11,0.5,0.5,0.01,0.2,0.6842105263157895,"[0, 0.7142857142857143, 0.6666666666666666]",1.0256410256410253
QLearn,U_11,0.5,0.6,1,0.05,0.6666666666666666,"[0, 0.3333333333333333, 0.75]",1.032258064516129
QLearn,U_11,0.1,0.7,0.01,0.2,0.0,"[0, 0, 0.0]",0.52
QLearn,U_11,0.1,0.8,0.0001,0.1,1.0,"[0, 0, 1.0]",1.0588235294117647
QLearn,U_11,0.1,0.9,0.001,0.1,1.0,"[0, 0, 1.0]",1.1111111111111107
QLearn,U_12,0.01,0.05,0.0001,0.05,0.3013698630136986,"[0.6842105263157895, 0.0851063829787234, 0.7142857142857143]",1.0068027210884354
QLearn,U_12,0.1,0.1,0.0001,0.1,0.2898550724637681,"[0.75, 0.1276595744680851, 0.3333333333333333]",1.0071942446043163
QLearn,U_12,0.7,0.2,0.1,0.1,0.5573770491803278,"[0.6, 0.5121951219512195, 0.8]",1.0081300813008132
QLearn,U_12,0.01,0.3,0.5,0.2,0.7777777777777778,"[0.7692307692307693, 0.7837837837837838, 0.75]",1.0091743119266052
QLearn,U_12,0.01,0.4,0.5,0.05,0.8043478260869565,"[0.8181818181818182, 0.8064516129032258, 0.75]",1.0107526881720428
QLearn,U_12,0.1,0.5,0.5,0.99,0.6578947368421053,"[0.6363636363636364, 0.625, 1.0]",1.0129870129870129
QLearn,U_12,0.1,0.6,0.0001,0.99,0.7419354838709677,"[0.6666666666666666, 0.7727272727272727, 0.6666666666666666]",1.0158730158730156
QLearn,U_12,0.05,0.7,0.5,0.1,0.7391304347826086,"[0.6, 0.8, 0.6666666666666666]",1.0212765957446805
QLearn,U_12,0.1,0.8,0.01,0.05,0.5625,"[0.6, 0.5, 1.0]",1.0303030303030303
QLearn,U_12,0.05,0.9,1,0.99,0.75,"[1.0, 0.6, 1.0]",1.0588235294117647
QLearn,U_13,0.01,0.05,0.0001,0.05,0.5614035087719298,"[0.5, 0.696969696969697, 0.2857142857142857]",1.008695652173913
QLearn,U_13,0.5,0.1,0.5,0.2,0.46296296296296297,"[0.3, 0.46875, 0.5833333333333334]",1.0091743119266057
QLearn,U_13,0.5,0.2,0.0001,0.9,0.5625,"[0.4444444444444444, 0.5925925925925926, 0.5833333333333334]",1.0103092783505156
QLearn,U_13,0.1,0.3,0.5,0.99,0.5238095238095238,"[0.4, 0.68, 0.25]",1.011764705882353
QLearn,U_13,0.7,0.4,0.01,0.5,0.5555555555555556,"[0.8, 0.5238095238095238, 0.5]",1.0136986301369864
QLearn,U_13,0.5,0.5,0.1,0.5,0.43333333333333335,"[0.0, 0.47058823529411764, 0.5]",1.0163934426229508
