User,Accuracy,LearningRate,Discount,Algorithm
pro10_bdf_p1,0.2631578947368421,0,0,HMM
pro11_bcf_p1,0.5568181818181818,0,0,HMM
pro12_bdf_p1,0.4788732394366197,0,0,HMM
pro14_bdf_p1,0.21621621621621623,0,0,HMM
pro16_bce_p1,0.85,0,0,HMM
pro19_bcf_p1,0.4918032786885246,0,0,HMM
pro1_bcf_p1,0.3793103448275862,0,0,HMM
pro26_bde_p1,0.5471698113207547,0,0,HMM
pro27_bcf_p1,0.6756756756756757,0,0,HMM
pro28_bce_p1,0.45454545454545453,0,0,HMM
pro2_bce_p1,0.5035460992907801,0,0,HMM
pro30_bde_p1,0.6764705882352942,0,0,HMM
pro32_bdf_p1,0.631578947368421,0,0,HMM
pro4_bce_p1,0.5454545454545454,0,0,HMM
pro6_bde_p1,0.8333333333333334,0,0,HMM
pro7_bde_p1,0.6730769230769231,0,0,HMM
stu12_bdf_p1,0.532258064516129,0,0,HMM
stu14_bcf_p1,0.5666666666666667,0,0,HMM
stu16_bcf_p1,0.5964912280701754,0,0,HMM
stu18_bde_p1,0.6190476190476191,0,0,HMM
stu19_bde_p1,0.6363636363636364,0,0,HMM
stu1_bce_p1,0.3728813559322034,0,0,HMM
stu20_bdf_p1,0.17647058823529413,0,0,HMM
stu22_bde_p1,0.5079365079365079,0,0,HMM
stu23_bdf_p1,0.3898305084745763,0,0,HMM
stu27_bdf_p1,0.68,0,0,HMM
stu28_bde_p1,0.5909090909090909,0,0,HMM
stu2_bce_p1,0.45555555555555555,0,0,HMM
stu32_bce_p1,0.5151515151515151,0,0,HMM
stu33_bce_p1,0.46464646464646464,0,0,HMM
stu34_bcf_p1,0.5825242718446602,0,0,HMM
stu35_bde_p1,0.4631578947368421,0,0,HMM
stu40_bdf_p1,0.3333333333333333,0,0,HMM
stu5_bcf_p1,0.5230769230769231,0,0,HMM
stu8_bce_p1,0.8571428571428571,0,0,HMM
stu9_bcf_p1,0.7272727272727273,0,0,HMM
