Algorithm,User,Threshold,LearningRate,Discount,Temperature,Accuracy,StateAccuracy,Reward,Epsilon,Openended,Task,GranularPredictions,Predictions,GroundTruth
ActorCritic,pro10_bdf_p1,0.8,0.0001,0.99,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro16_bce_p1,0.8,0.001,0.1,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro1_bcf_p1,0.8,0.001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro28_bce_p1,0.8,0.001,0.8,1.0,0.4285714285714285,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro14_bdf_p1,0.8,0.0001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro32_bdf_p1,0.8,0.0001,0.99,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro26_bde_p1,0.8,0.001,0.9,1.0,0.1818181818181818,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro30_bde_p1,0.8,0.1,0.9,1.0,0.8571428571428571,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro6_bde_p1,0.8,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro19_bcf_p1,0.8,0.001,0.1,1.0,0.6153846153846154,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro4_bce_p1,0.8,0.001,0.2,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro12_bdf_p1,0.8,0.001,0.05,1.0,0.6,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro11_bcf_p1,0.8,0.0001,0.1,1.0,0.8333333333333334,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu14_bcf_p1,0.8,0.0001,0.9,1.0,1.0,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu19_bde_p1,0.8,0.001,0.05,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro7_bde_p1,0.8,0.0001,0.9,1.0,0.7272727272727273,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu18_bde_p1,0.8,0.001,0.99,1.0,0.4444444444444444,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu20_bdf_p1,0.8,0.0001,0.2,1.0,0.5,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,pro27_bcf_p1,0.8,0.1,0.2,1.0,0.9130434782608696,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu12_bdf_p1,0.8,0.001,0.05,1.0,0.6153846153846154,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu28_bde_p1,0.8,0.0001,0.9,1.0,0.8,"[None, None, None]",0.0,0.0,Focused,p1,,,
ActorCritic,stu32_bce_p1,0.8,0.01,0.8,1.0,0.4285714285714285,"[None, None, None]",0.0,0.0,Focused,p1,,,
