User,Accuracy,LearningRate,Discount,Algorithm
pro13_ace_p2,0.6428571428571429,0,0,HMM
pro15_ade_p2,0.18,0,0,HMM
pro17_ace_p2,0.26881720430107525,0,0,HMM
pro18_adf_p2,0.07142857142857142,0,0,HMM
pro20_ade_p2,0.2898550724637681,0,0,HMM
pro21_ade_p2,0.2564102564102564,0,0,HMM
pro22_ade_p2,0.3068181818181818,0,0,HMM
pro23_acf_p2,0.23300970873786409,0,0,HMM
pro24_adf_p2,0.20833333333333334,0,0,HMM
pro25_acf_p2,0.16,0,0,HMM
pro29_ace_p2,0.19047619047619047,0,0,HMM
pro31_adf_p2,0.35714285714285715,0,0,HMM
pro3_ace_p2,0.2545454545454545,0,0,HMM
pro5_adf_p2,0.4857142857142857,0,0,HMM
pro8_acf_p2,0.2125984251968504,0,0,HMM
pro9_acf_p2,0.125,0,0,HMM
stu10_acf_p2,0.10526315789473684,0,0,HMM
stu11_adf_p2,0.2777777777777778,0,0,HMM
stu13_acf_p2,0.13636363636363635,0,0,HMM
stu15_ade_p2,0.2605633802816901,0,0,HMM
stu17_ace_p2,0.2222222222222222,0,0,HMM
stu21_ace_p2,0.34532374100719426,0,0,HMM
stu24_ace_p2,0.14814814814814814,0,0,HMM
stu25_ace_p2,0.08333333333333333,0,0,HMM
stu26_ace_p2,0.15789473684210525,0,0,HMM
stu29_ade_p2,0.25,0,0,HMM
stu30_adf_p2,0.16666666666666666,0,0,HMM
stu31_ade_p2,0.3333333333333333,0,0,HMM
stu36_adf_p2,0.2,0,0,HMM
stu37_adf_p2,0.5056179775280899,0,0,HMM
stu38_acf_p2,0.21428571428571427,0,0,HMM
stu39_adf_p2,0.2,0,0,HMM
stu3_acf_p2,0.08,0,0,HMM
stu4_ade_p2,0.21621621621621623,0,0,HMM
stu6_acf_p2,0.21212121212121213,0,0,HMM
stu7_ade_p2,0.5,0,0,HMM
