User,Accuracy,Threshold
stu7_ade_p1_logs.csv,0.46078431372549017,0.1
stu7_ade_p1_logs.csv,0.46153846153846156,0.2
stu7_ade_p1_logs.csv,0.4625,0.3
stu7_ade_p1_logs.csv,0.4411764705882353,0.4
stu7_ade_p1_logs.csv,0.47368421052631576,0.5
stu7_ade_p1_logs.csv,0.4782608695652174,0.6
stu7_ade_p1_logs.csv,0.4117647058823529,0.7
stu7_ade_p1_logs.csv,0.43478260869565216,0.8
stu7_ade_p1_logs.csv,0.3333333333333333,0.9
pro5_adf_p1_logs.csv,0.6349206349206349,0.1
pro5_adf_p1_logs.csv,0.625,0.2
pro5_adf_p1_logs.csv,0.673469387755102,0.3
pro5_adf_p1_logs.csv,0.6428571428571429,0.4
pro5_adf_p1_logs.csv,0.6571428571428571,0.5
pro5_adf_p1_logs.csv,0.6428571428571429,0.6
pro5_adf_p1_logs.csv,0.6666666666666666,0.7
pro5_adf_p1_logs.csv,0.6428571428571429,0.8
pro5_adf_p1_logs.csv,0.7142857142857143,0.9
stu30_adf_p1_logs.csv,0.6666666666666666,0.1
stu30_adf_p1_logs.csv,0.6363636363636364,0.2
stu30_adf_p1_logs.csv,0.6,0.3
stu30_adf_p1_logs.csv,0.75,0.4
stu30_adf_p1_logs.csv,1.0,0.5
stu30_adf_p1_logs.csv,1.0,0.6
stu30_adf_p1_logs.csv,1.0,0.7
stu30_adf_p1_logs.csv,1.0,0.8
stu30_adf_p1_logs.csv,1.0,0.9
stu38_acf_p1_logs.csv,0.5178571428571429,0.1
stu38_acf_p1_logs.csv,0.52,0.2
stu38_acf_p1_logs.csv,0.5454545454545454,0.3
stu38_acf_p1_logs.csv,0.5263157894736842,0.4
stu38_acf_p1_logs.csv,0.6129032258064516,0.5
stu38_acf_p1_logs.csv,0.6,0.6
stu38_acf_p1_logs.csv,0.5789473684210527,0.7
stu38_acf_p1_logs.csv,0.3076923076923077,0.8
stu38_acf_p1_logs.csv,0.42857142857142855,0.9
stu10_acf_p1_logs.csv,0.6111111111111112,0.1
stu10_acf_p1_logs.csv,0.5625,0.2
stu10_acf_p1_logs.csv,0.5,0.3
stu10_acf_p1_logs.csv,0.4166666666666667,0.4
stu10_acf_p1_logs.csv,0.4,0.5
stu10_acf_p1_logs.csv,0.375,0.6
stu10_acf_p1_logs.csv,0.3333333333333333,0.7
stu10_acf_p1_logs.csv,0.5,0.8
stu10_acf_p1_logs.csv,0.16666666666666666,0.9
stu39_adf_p1_logs.csv,0.45454545454545453,0.1
stu39_adf_p1_logs.csv,0.5,0.2
stu39_adf_p1_logs.csv,0.5882352941176471,0.3
stu39_adf_p1_logs.csv,0.5333333333333333,0.4
stu39_adf_p1_logs.csv,0.3333333333333333,0.5
stu39_adf_p1_logs.csv,0.3,0.6
stu39_adf_p1_logs.csv,0.25,0.7
stu39_adf_p1_logs.csv,0.4,0.8
stu39_adf_p1_logs.csv,0.0,0.9
stu21_ace_p1_logs.csv,0.47368421052631576,0.1
stu21_ace_p1_logs.csv,0.47058823529411764,0.2
stu21_ace_p1_logs.csv,0.5333333333333333,0.3
stu21_ace_p1_logs.csv,0.6153846153846154,0.4
stu21_ace_p1_logs.csv,0.7272727272727273,0.5
stu21_ace_p1_logs.csv,0.5555555555555556,0.6
stu21_ace_p1_logs.csv,0.8571428571428571,0.7
stu21_ace_p1_logs.csv,1.0,0.8
stu21_ace_p1_logs.csv,1.0,0.9
pro3_ace_p1_logs.csv,0.5357142857142857,0.1
pro3_ace_p1_logs.csv,0.56,0.2
pro3_ace_p1_logs.csv,0.45454545454545453,0.3
pro3_ace_p1_logs.csv,0.47368421052631576,0.4
pro3_ace_p1_logs.csv,0.4375,0.5
pro3_ace_p1_logs.csv,0.38461538461538464,0.6
pro3_ace_p1_logs.csv,0.4,0.7
pro3_ace_p1_logs.csv,0.2857142857142857,0.8
pro3_ace_p1_logs.csv,0.5,0.9
pro24_adf_p1_logs.csv,0.5666666666666667,0.1
pro24_adf_p1_logs.csv,0.6296296296296297,0.2
pro24_adf_p1_logs.csv,0.5416666666666666,0.3
pro24_adf_p1_logs.csv,0.45,0.4
pro24_adf_p1_logs.csv,0.47058823529411764,0.5
pro24_adf_p1_logs.csv,0.42857142857142855,0.6
pro24_adf_p1_logs.csv,0.4,0.7
pro24_adf_p1_logs.csv,0.8571428571428571,0.8
pro24_adf_p1_logs.csv,1.0,0.9
stu11_adf_p1_logs.csv,0.5909090909090909,0.1
stu11_adf_p1_logs.csv,0.6,0.2
stu11_adf_p1_logs.csv,0.5882352941176471,0.3
stu11_adf_p1_logs.csv,0.5333333333333333,0.4
stu11_adf_p1_logs.csv,0.5,0.5
stu11_adf_p1_logs.csv,0.5,0.6
stu11_adf_p1_logs.csv,0.5,0.7
stu11_adf_p1_logs.csv,0.2,0.8
stu11_adf_p1_logs.csv,0.0,0.9
pro25_acf_p1_logs.csv,,0.1
pro25_acf_p1_logs.csv,0.625,0.2
pro25_acf_p1_logs.csv,0.8571428571428571,0.3
pro25_acf_p1_logs.csv,0.8333333333333334,0.4
pro25_acf_p1_logs.csv,0.8,0.5
pro25_acf_p1_logs.csv,1.0,0.6
pro25_acf_p1_logs.csv,0.6666666666666666,0.7
pro25_acf_p1_logs.csv,1.0,0.8
pro25_acf_p1_logs.csv,0.0,0.9
stu6_acf_p1_logs.csv,0.64,0.1
stu6_acf_p1_logs.csv,0.6363636363636364,0.2
stu6_acf_p1_logs.csv,0.631578947368421,0.3
stu6_acf_p1_logs.csv,0.7647058823529411,0.4
stu6_acf_p1_logs.csv,0.5714285714285714,0.5
stu6_acf_p1_logs.csv,0.6363636363636364,0.6
stu6_acf_p1_logs.csv,0.6666666666666666,0.7
stu6_acf_p1_logs.csv,0.5,0.8
stu6_acf_p1_logs.csv,1.0,0.9
pro13_ace_p1_logs.csv,0.8260869565217391,0.1
pro13_ace_p1_logs.csv,0.8,0.2
pro13_ace_p1_logs.csv,0.8888888888888888,0.3
