User,Accuracy,LearningRate,Discount,Algorithm
pro10_bdf_p2,0.6153846153846154,0,0,HMM
pro11_bcf_p2,0.5625,0,0,HMM
pro12_bdf_p2,0.29591836734693877,0,0,HMM
pro14_bdf_p2,0.2826086956521739,0,0,HMM
pro16_bce_p2,0.65625,0,0,HMM
pro19_bcf_p2,0.6,0,0,HMM
pro1_bcf_p2,0.5925925925925926,0,0,HMM
pro26_bde_p2,0.6551724137931034,0,0,HMM
pro27_bcf_p2,0.5531914893617021,0,0,HMM
pro28_bce_p2,0.5405405405405406,0,0,HMM
pro2_bce_p2,0.6170212765957447,0,0,HMM
pro30_bde_p2,0.5625,0,0,HMM
pro32_bdf_p2,0.5566037735849056,0,0,HMM
pro4_bce_p2,0.5,0,0,HMM
pro6_bde_p2,0.6818181818181818,0,0,HMM
pro7_bde_p2,0.5135135135135135,0,0,HMM
stu12_bdf_p2,0.84375,0,0,HMM
stu14_bcf_p2,0.6976744186046512,0,0,HMM
stu16_bcf_p2,0.7101449275362319,0,0,HMM
stu18_bde_p2,0.8210526315789474,0,0,HMM
stu19_bde_p2,0.7391304347826086,0,0,HMM
stu1_bce_p2,0.6976744186046512,0,0,HMM
stu20_bdf_p2,0.7777777777777778,0,0,HMM
stu22_bde_p2,0.547945205479452,0,0,HMM
stu23_bdf_p2,0.5384615384615384,0,0,HMM
stu27_bdf_p2,0.6346153846153846,0,0,HMM
stu28_bde_p2,0.6875,0,0,HMM
stu2_bce_p2,0.7636363636363637,0,0,HMM
stu32_bce_p2,0.8378378378378378,0,0,HMM
stu33_bce_p2,0.5476190476190477,0,0,HMM
stu34_bcf_p2,0.6,0,0,HMM
stu35_bde_p2,0.4,0,0,HMM
stu40_bdf_p2,0.5490196078431373,0,0,HMM
stu5_bcf_p2,0.7142857142857143,0,0,HMM
stu8_bce_p2,0.8378378378378378,0,0,HMM
stu9_bcf_p2,0.8333333333333334,0,0,HMM
